title,text,label
"Prime Minister Launches New Digital India Initiative","The Prime Minister launched a program to expand broadband access in rural areas and support digital literacy.",1
"Government Announces Free Internet for All","The government officially declared a plan to provide free internet access nationwide by 2026.",1
"India Launches First Green Hydrogen Train","Indian Railways launched the nation’s first hydrogen-powered train to promote clean energy.",1
"ISRO Successfully Launches Communication Satellite","ISRO placed a communication satellite into orbit to enhance national connectivity and disaster response.",1
"Union Budget Allocates More Funds for Education and Infrastructure","The recent national budget increased allocations for schools, roads, and public transport.",1
"Government Launches Affordable Healthcare Scheme for Senior Citizens","A new scheme was unveiled to provide subsidized medical treatment and health insurance for elderly citizens.",1
"Indian Cricketer Scores Century, Leads Team to Victory","A top batsman scored a match-winning century in a major international cricket series.",1
"City Begins Tree Plantation Drive to Improve Air Quality","Municipal authorities started planting thousands of trees to tackle pollution and urban heat.",1
"Health Ministry Reports Drop in Malaria Cases After Campaign","A targeted campaign led to a significant decline in malaria incidence in affected districts.",1
"Indian Startup Raises Series B Funding for Renewable Energy","A Bengaluru-based startup secured investment to scale its solar storage technology across India.",1
"National Museum Reopens After Renovation","The national museum unveiled refurbished galleries showcasing cultural artifacts and modern displays.",1
"India Hosts International Climate Summit","India hosted leaders to discuss climate cooperation and announced stronger emission reduction targets.",1
"Supreme Court Rules to Strengthen Environmental Protections","The court issued a decision tightening pollution controls for industrial projects near rivers.",1
"College Announces Scholarship Program for Underprivileged Students","A university launched scholarships to increase access to higher education for low-income families.",1
"Major Port Upgrades to Boost Export Capacity","Port authorities completed infrastructure upgrades to speed up cargo handling and exports.",1
"Public Transport App Integrates Multi-Modal Options","A new feature allows passengers to plan trips using buses, metro, and bike-sharing in one app.",1
"Shocking Discovery: Aliens Found in Backyard","A fake article claims aliens were discovered in someone's backyard.",0
"Celebrity Claims Drinking Bleach Cures COVID","A social media influencer falsely claimed that drinking bleach can cure COVID-19.",0
"Scientists Say Earth Will Explode Next Week","A viral post falsely claims scientists predicted the Earth would explode due to magnetic field changes.",0
"Facebook to Start Charging Monthly Fees","A viral hoax claimed Facebook will charge users $5 per month to continue using the app.",0
"Aliens Spotted in New York City","An edited video showing UFOs in Times Square went viral but was proven false.",0
"Bank To Convert All Savings To Cryptocurrency Overnight","A hoax statement asserts banks will convert savings accounts to crypto, which is false.",0
"Government To Provide Free Gold To Every Household Next Year","A viral claim that the government will distribute gold to all households has no official confirmation.",0
"Schools To Close Permanently From Next Month","A circulating message falsely claims nationwide school closures without any government announcement.",0
"Toll Booths To Start Charging For Breathing On Highways","A satirical claim being shared as real; it is false and intended to mislead.",0
"Weather App Predicts Permanent Snow In Southern India","A fake report claims climate reversal causing constant snow in southern India.",0
"Doctors Recommend Drinking River Water For Better Health","A false and dangerous health claim circulating online; official health bodies warn against it.",0
"Contaminated Water In Major City Causes Instant Paralysis","A sensational post claims a city's water supply causes paralysis; health officials have debunked it.",0
"Local Hero Revealed As Alien Agent In Secret Files","A bizarre hoax claims a local celebrity is an extraterrestrial; entirely fabricated.",0
"Secret ISRO Mission Confirms Life On Moon","An unverified report claims ISRO found life on the moon; no credible evidence supports it.",0
"Famous Actor Arrested For Satanic Rituals","A false viral post shows doctored images and baseless allegations against a public figure.",0
"ATM Machines To Dispense Free Cash This Weekend","A scam message promises free cash from ATMs and is designed to trick people.",0
"Country To Ban Mobile Phones For All Citizens Next Year","A hoax message asserts an absurd nationwide ban on phones; no such policy exists.",0
"New Law Allows Companies To Evict Tenants Without Notice","A fabricated story misrepresents proposed regulations; no such law exists.",0
"Massive Salary Hike For Government Employees Announced Secretly","Rumors of sudden huge pay raises for government staff are untrue and not announced officially.",0

"PM Modi Launches Clean Energy Drive","Prime Minister Narendra Modi launched a new initiative to promote solar and wind energy across India.",1
"Actor Claims He Can Stop Rain With Meditation","A self-proclaimed guru claimed he could stop rainfall through meditation, which scientists dismissed as false.",0
"India Wins Cricket World Cup 2023","India defeated Australia to win the ICC Cricket World Cup 2023 in Ahmedabad.",1
